Test Case,Latency
The Earth is flat,0.09809303283691406
The Earth is flat,0.05957913398742676
The Earth is flat,0.3412208557128906
The Earth is flat,0.055448055267333984
The Earth is flat,0.07819414138793945
The Earth is flat,0.05333137512207031
The Earth is flat,0.11046218872070312
The Earth is flat,0.07214999198913574
The Earth is flat,0.1574101448059082
The Earth is flat,0.06145310401916504
The Earth is flat,0.13933897018432617
The Earth is flat,0.05612993240356445
The Earth is flat,0.05433487892150879
The Earth is flat,0.05420708656311035
The Earth is flat,0.11245608329772949
The Earth is flat,0.05850410461425781
The Earth is flat,0.1403520107269287
The Earth is flat,0.05996084213256836
The Earth is flat,0.06218910217285156
The Earth is flat,0.05330014228820801
The Earth is flat,0.1526041030883789
The Earth is flat,0.052681922912597656
The Earth is flat,0.14365291595458984
The Earth is flat,0.05449199676513672
The Earth is flat,0.06017613410949707
The Earth is flat,0.2776811122894287
The Earth is flat,0.13591694831848145
The Earth is flat,0.05073118209838867
The Earth is flat,0.0554349422454834
The Earth is flat,0.05921006202697754
The Earth is flat,0.05754995346069336
The Earth is flat,0.15370798110961914
The Earth is flat,0.05519270896911621
The Earth is flat,0.05419278144836426
The Earth is flat,0.053465843200683594
The Earth is flat,0.053698062896728516
The Earth is flat,0.05394887924194336
The Earth is flat,0.06866908073425293
The Earth is flat,0.13451218605041504
The Earth is flat,0.06658816337585449
The Earth is flat,0.06986689567565918
The Earth is flat,0.05812788009643555
The Earth is flat,0.055127620697021484
The Earth is flat,0.05273294448852539
The Earth is flat,0.054316043853759766
The Earth is flat,0.05474209785461426
The Earth is flat,0.11458301544189453
The Earth is flat,0.0732729434967041
The Earth is flat,0.05582094192504883
The Earth is flat,0.05016016960144043
The Earth is flat,0.062410831451416016
The Earth is flat,0.17806315422058105
The Earth is flat,0.10531783103942871
The Earth is flat,0.07933688163757324
The Earth is flat,0.053337812423706055
The Earth is flat,0.052945852279663086
The Earth is flat,0.05565285682678223
The Earth is flat,0.0845937728881836
The Earth is flat,0.06387901306152344
The Earth is flat,0.13955307006835938
The Earth is flat,0.07807326316833496
The Earth is flat,0.05859827995300293
The Earth is flat,0.06995201110839844
The Earth is flat,0.06349992752075195
The Earth is flat,0.062367916107177734
The Earth is flat,0.058294057846069336
The Earth is flat,0.13048982620239258
The Earth is flat,0.05319476127624512
The Earth is flat,0.18478107452392578
The Earth is flat,0.06563782691955566
The Earth is flat,0.05239295959472656
The Earth is flat,0.061196088790893555
The Earth is flat,0.14295506477355957
The Earth is flat,0.05159807205200195
The Earth is flat,0.05498814582824707
The Earth is flat,0.05510520935058594
The Earth is flat,0.06870913505554199
The Earth is flat,0.06273579597473145
The Earth is flat,0.053758859634399414
The Earth is flat,0.13892793655395508
The Earth is flat,0.062236785888671875
The Earth is flat,0.06948685646057129
The Earth is flat,0.0534360408782959
The Earth is flat,0.05283498764038086
The Earth is flat,0.05096793174743652
The Earth is flat,0.10733318328857422
The Earth is flat,0.12923789024353027
The Earth is flat,0.053848981857299805
The Earth is flat,0.06247091293334961
The Earth is flat,0.054705142974853516
The Earth is flat,0.0705111026763916
The Earth is flat,0.085205078125
The Earth is flat,0.05723285675048828
The Earth is flat,0.13894414901733398
The Earth is flat,0.05678606033325195
The Earth is flat,0.05698204040527344
The Earth is flat,0.06934809684753418
The Earth is flat,0.08005714416503906
The Earth is flat,0.0593109130859375
The Earth is flat,0.05277371406555176
University of Toronto went bankrupt,1.2621991634368896
University of Toronto went bankrupt,0.06912612915039062
University of Toronto went bankrupt,0.07249903678894043
University of Toronto went bankrupt,0.07363295555114746
University of Toronto went bankrupt,0.055993080139160156
University of Toronto went bankrupt,0.18238186836242676
University of Toronto went bankrupt,0.05514407157897949
University of Toronto went bankrupt,0.28793907165527344
University of Toronto went bankrupt,0.06266498565673828
University of Toronto went bankrupt,0.16499805450439453
University of Toronto went bankrupt,0.0640556812286377
University of Toronto went bankrupt,0.060298919677734375
University of Toronto went bankrupt,0.057713985443115234
University of Toronto went bankrupt,0.05615520477294922
University of Toronto went bankrupt,0.059531211853027344
University of Toronto went bankrupt,0.0730597972869873
University of Toronto went bankrupt,0.15083074569702148
University of Toronto went bankrupt,0.058461904525756836
University of Toronto went bankrupt,0.14226388931274414
University of Toronto went bankrupt,0.059172868728637695
University of Toronto went bankrupt,0.06480097770690918
University of Toronto went bankrupt,0.16125798225402832
University of Toronto went bankrupt,0.0710599422454834
University of Toronto went bankrupt,0.12188005447387695
University of Toronto went bankrupt,0.0648040771484375
University of Toronto went bankrupt,0.07568573951721191
University of Toronto went bankrupt,0.07700181007385254
University of Toronto went bankrupt,0.15443015098571777
University of Toronto went bankrupt,0.15346097946166992
University of Toronto went bankrupt,0.05511212348937988
University of Toronto went bankrupt,1.0567691326141357
University of Toronto went bankrupt,0.06365633010864258
University of Toronto went bankrupt,0.19878196716308594
University of Toronto went bankrupt,0.07646322250366211
University of Toronto went bankrupt,0.10059309005737305
University of Toronto went bankrupt,0.10303783416748047
University of Toronto went bankrupt,0.1943049430847168
University of Toronto went bankrupt,0.12158417701721191
University of Toronto went bankrupt,0.09521770477294922
University of Toronto went bankrupt,0.12432408332824707
University of Toronto went bankrupt,0.07943105697631836
University of Toronto went bankrupt,0.14396309852600098
University of Toronto went bankrupt,0.07181739807128906
University of Toronto went bankrupt,0.13461589813232422
University of Toronto went bankrupt,0.08114218711853027
University of Toronto went bankrupt,0.07077789306640625
University of Toronto went bankrupt,0.05269598960876465
University of Toronto went bankrupt,0.1241919994354248
University of Toronto went bankrupt,0.062094926834106445
University of Toronto went bankrupt,0.1341869831085205
University of Toronto went bankrupt,0.06016993522644043
University of Toronto went bankrupt,0.05485105514526367
University of Toronto went bankrupt,0.059082984924316406
University of Toronto went bankrupt,0.15389299392700195
University of Toronto went bankrupt,0.05861711502075195
University of Toronto went bankrupt,0.13779807090759277
University of Toronto went bankrupt,0.08523011207580566
